Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-04-25 00:00:00-04:00,23.780444155199945,23.927656774123356,23.669469232956722,23.79856300354004,112126400,0.0,0.0
2016-04-26 00:00:00-04:00,23.533585702810786,23.848393407654267,23.533585702810786,23.633235931396484,224064800,0.0,0.0
2016-04-27 00:00:00-04:00,21.742123500258902,22.355885320885914,21.66964982437439,22.15431785583496,458408400,0.0,0.0
2016-04-28 00:00:00-04:00,22.106753806786298,22.16790275955349,21.345779461747554,21.47713851928711,328970800,0.0,0.0
2016-04-29 00:00:00-04:00,21.28689430574203,21.452225773505287,20.951704249979535,21.230274200439453,274126000,0.0,0.0
2016-05-02 00:00:00-04:00,21.282371038114313,21.30728402921264,20.926796752694237,21.207632064819336,192640400,0.0,0.0
2016-05-03 00:00:00-04:00,21.334465779859748,21.68324601231902,21.216696661531245,21.55641746520996,227325200,0.0,0.0
2016-05-04 00:00:00-04:00,21.560937376849367,21.719474722918175,21.24839498908705,21.33219337463379,164102000,0.0,0.0
2016-05-05 00:00:00-04:00,21.418784831513033,21.434734920892943,21.11801047575662,21.2456111907959,143562000,0.1425,0.0
2016-05-06 00:00:00-04:00,21.27522990921445,21.293457337528263,20.928882694816636,21.127120971679688,174799600,0.0,0.0
2016-05-09 00:00:00-04:00,21.190926212926954,21.366377202684173,21.097503015606634,21.143075942993164,131745600,0.0,0.0
2016-05-10 00:00:00-04:00,21.26611649121097,21.320802256007195,20.988127767650703,21.286623001098633,134747200,0.0,0.0
2016-05-11 00:00:00-04:00,21.300297116283584,21.320803627490353,21.06787955869815,21.079273223876953,114876400,0.0,0.0
2016-05-12 00:00:00-04:00,21.12712438477307,21.14079539282424,20.386581315893334,20.58481788635254,305258800,0.0,0.0
2016-05-13 00:00:00-04:00,20.507339794719382,20.887864460354056,20.507339794719382,20.625825881958008,177571200,0.0,0.0
2016-05-16 00:00:00-04:00,21.051929425106646,21.507648216408324,20.883313959085207,21.39143943786621,245039200,0.0,0.0
2016-05-17 00:00:00-04:00,21.54410629634626,21.57828381454151,21.193202622631627,21.302574157714844,187667600,0.0,0.0
2016-05-18 00:00:00-04:00,21.455236742172765,21.694488011170616,21.39371374555272,21.54637908935547,168249600,0.0,0.0
2016-05-19 00:00:00-04:00,21.56461033172737,21.56461033172737,21.320800878824148,21.464351654052734,121768400,0.0,0.0
2016-05-20 00:00:00-04:00,21.564610861163164,21.744619973939777,21.537267110645395,21.69676971435547,128104000,0.0,0.0
