Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,MACD,SMA_50,SMA_200,Volume_MA
2017-03-30 00:00:00-04:00,33.31587499357841,33.38750159553107,33.156446221167535,33.25579833984375,84829200,0.0,0.0,73.41851098960817,0.5608389167953618,31.015184440612792,26.494006032943727,95868220.0
2017-03-31 00:00:00-04:00,33.207279354099846,33.33436051768321,33.043228483724,33.193416595458984,78646800,0.0,0.0,71.55358703877516,0.5554450999389715,31.127925872802734,26.549403696060182,95578940.0
2017-04-03 00:00:00-04:00,33.20498386217642,33.299713927446234,33.052486402532196,33.20267105102539,79942800,0.0,0.0,71.66856172154397,0.5456275635304095,31.23984016418457,26.60438096046448,95226080.0
2017-04-04 00:00:00-04:00,33.09868495318175,33.47761565559979,33.080200098719224,33.44989013671875,79565600,0.0,0.0,74.61968603649996,0.5514389641940483,31.35633068084717,26.663121213912962,95715100.0
2017-04-05 00:00:00-04:00,33.322810259170346,33.60932022602162,33.228076698482546,33.2765998840332,110871600,0.0,0.0,69.17997180769291,0.5358841273009745,31.469861450195314,26.72125678062439,97517240.0
2017-04-06 00:00:00-04:00,33.3389790868133,33.39212436243698,33.14489341459069,33.193416595458984,84596000,0.0,0.0,66.66759882151158,0.5109546437258246,31.5729402923584,26.778054485321046,97315860.0
2017-04-07 00:00:00-04:00,33.209606898182265,33.313581170781795,33.10332333974798,33.1194953918457,66688800,0.0,0.0,64.42836984902635,0.4797033039559011,31.674264755249023,26.83489231109619,96727740.0
2017-04-10 00:00:00-04:00,33.17955967379013,33.24425490924556,33.017818059525624,33.080204010009766,75733600,0.0,0.0,63.21301485004623,0.4466175764802429,31.774757347106934,26.89090765953064,97030080.0
2017-04-11 00:00:00-04:00,33.027070231356774,33.12180382246015,32.36162933373058,32.724388122558594,121517600,0.0,0.0,53.39088168729962,0.3872218778752199,31.869606056213378,26.948217229843138,100044140.0
2017-04-12 00:00:00-04:00,32.71743862243264,32.844516243081806,32.581113287907016,32.763648986816406,81400000,0.0,0.0,54.2358566762839,0.3394059222380079,31.9665283203125,27.00727108001709,98975780.0
2017-04-13 00:00:00-04:00,32.78908567149333,32.89768203463652,32.59037780761719,32.59037780761719,71291600,0.0,0.0,49.933411328966635,0.2842532028455125,32.02593650817871,27.063694343566894,98693960.0
2017-04-17 00:00:00-04:00,32.689717120605906,32.782141396308624,32.548773185081686,32.77058792114258,66328400,0.0,0.0,54.018914830946535,0.25217876562156505,32.08996116638183,27.12009663581848,93233380.0
2017-04-18 00:00:00-04:00,32.673553715856414,32.81911625943817,32.60423637215595,32.625030517578125,58790000,0.0,0.0,50.43875999110652,0.21256397189257115,32.14854404449463,27.174405250549317,91864480.0
2017-04-19 00:00:00-04:00,32.78213681645737,32.809862332481956,32.45172580612209,32.50486755371094,69313600,0.0,0.0,47.63217997891542,0.16951870935318425,32.199156227111814,27.227782955169676,87424180.0
2017-04-20 00:00:00-04:00,32.6296492538494,33.0224427935341,32.615786491662185,32.911537170410156,93278400,0.0,0.0,56.46175369364393,0.16630283252080602,32.25219623565674,27.284218463897705,86916060.0
2017-04-21 00:00:00-04:00,32.91152477518671,32.96697580305148,32.775202964186015,32.87224578857422,69283600,0.0,0.0,55.488296424398044,0.1587537266792296,32.30210391998291,27.339842872619627,86310980.0
2017-04-24 00:00:00-04:00,33.156449382600115,33.260423605852495,33.08250996345363,33.18879699707031,68537200,0.0,0.0,61.28026575716355,0.1762819740431567,32.35395275115967,27.39658329963684,85258720.0
2017-04-25 00:00:00-04:00,33.25119026285557,33.47993289925257,33.241946070614006,33.39444351196289,75486000,0.0,0.0,64.51104517987497,0.20441087018532045,32.411300849914554,27.453509702682496,84318000.0
2017-04-26 00:00:00-04:00,33.38057575895097,33.41061409080594,33.12872620522698,33.19804000854492,80164800,0.0,0.0,59.412293969058084,0.2084521945803388,32.45931411743164,27.509112586975096,81651280.0
2017-04-27 00:00:00-04:00,33.253499487413826,33.30895406388303,33.11255552381096,33.22346115112305,56985200,0.0,0.0,59.85457299485214,0.21127084820568598,32.49984123229981,27.564341764450074,78662540.0
2017-04-28 00:00:00-04:00,33.29277364954495,33.34129683760354,33.103310044002505,33.19110870361328,83441600,0.0,0.0,58.973812551638886,0.20849072804578128,32.53745693206787,27.62003517150879,78593160.0
2017-05-01 00:00:00-04:00,33.5261457777764,34.01136008674115,33.49379815717875,33.868106842041016,134411600,0.0,0.0,69.1905004211896,0.25794215801677467,32.58935199737549,27.676928176879883,81381400.0
2017-05-02 00:00:00-04:00,34.089916305108204,34.21699749566795,33.928178210589465,34.082984924316406,181408800,0.0,0.0,71.6073223126226,0.3108879156055764,32.643834838867186,27.734906969070433,86454700.0
2017-05-03 00:00:00-04:00,33.63935221272565,34.078359553815964,33.33436094186979,33.97900390625,182788000,0.0,0.0,68.79500987050103,0.3405319702170786,32.691709213256836,27.791170654296874,91615820.0
2017-05-04 00:00:00-04:00,33.85425046780604,33.99750373953712,33.69019952306005,33.85655975341797,93487600,0.0,0.0,65.5312137988216,0.3501090381885845,32.73524017333985,27.846776609420775,90746620.0
2017-05-05 00:00:00-04:00,33.909686058779336,34.42262928078691,33.909686058779336,34.41801071166992,109310800,0.0,0.0,72.07364046162013,0.3984107030617068,32.792680473327636,27.905087375640868,91982360.0
2017-05-08 00:00:00-04:00,34.43419436903658,35.51322292684159,34.43419436903658,35.35379409790039,195009600,0.0,0.0,79.17017938592917,0.506362981814739,32.86823535919189,27.9686803150177,98398400.0
